År,Art,Landingsplads,Levende vægt (kg),Landet vægt (kg),Værdi (kr),lat,lon
2013,Torsk,Åbenrå,"1,809","1,551",,55.0446228,9.4209667
2013,Torsk,Agersø,"74,959","67,368","1,242,820",55.2174327,11.1843067
2013,Torsk,Ålbæk,330,282,"6,637",57.5925422,10.4115924
2013,Torsk,Ålborg,117,101,,57.0462626,9.9215263
2013,Torsk,Allinge,59,50,,55.2746124,14.799119
2013,Torsk,Anholt,297,254,"3,901",56.7128297,11.562026
2013,Torsk,Århus,40,34,,56.1496278,10.2134046
2013,Torsk,Arnager,"3,853","3,293",,55.0544378,14.7794545
2013,Torsk,Årøsund,"26,027","24,666","325,821",55.2580919,9.7068676
2013,Torsk,Årsdale,"148,319","137,167","1,017,745",55.1059445,15.144951
2013,Torsk,Assens (fyn),342,292,,,
2013,Torsk,Augustenborg,562,512,,54.9506719,9.8743203
2013,Torsk,Bagenkop,"586,198","535,577","6,275,815",54.7495173,10.6751651
2013,Torsk,Ballen (samsø),84,72,,55.8157777,10.637472
2013,Torsk,Ballen (svendborg sund),5,4,,,
2013,Torsk,Begtrup,23,20,,56.1797653,10.5099678
2013,Torsk,Blokhus,"1,219","1,042",,57.2523474,9.5842346
2013,Torsk,Bogense,868,759,,55.5640146,10.092085
2013,Torsk,Bøgeskoven,"4,527","3,876","47,783",55.6841412,12.4153978
2013,Torsk,Bøjden,205,175,,55.1037624,10.1052145
2013,Torsk,Bølshavn,"7,642","6,629",,55.1541034,15.0766432
2013,Torsk,Bønnerup,"2,645","2,306","39,778",56.5193467,10.7203397
2013,Torsk,Brunshuse,"1,070",990,,55.2002666,10.0037703
2013,Torsk,Christiansø,"11,416","11,442",,55.3204511,15.1892448
2013,Torsk,Dalsgård,75,64,,54.8926905,9.5768153
2013,Torsk,Dragør,"61,558","52,766","905,697",55.592487,12.6719953
2013,Torsk,Dyreborg,488,420,"4,987",55.0690532,10.2077743
2013,Torsk,Ebeltoft,228,195,,56.1988382,10.6770909
